Rank,Team,Rating,Season
1,N Carolina (8-2),26.9,2019
2,Texas Tech (9-1),26.7,2019
3,Gonzaga (9-1),26,2019
4,Virginia (9-1),25.8,2019
5,Michigan St (9-1),23.6,2019
6,Michigan (6-4),22.6,2019
7,Duke (7-3),20,2019
8,Florida St (8-2),19.7,2019
9,Kentucky (7-3),19.6,2019
10,Houston (8-2),19,2019
11,Purdue (7-3),18.9,2019
12,Oregon (8-2),18.8,2019
13,Kansas St (7-3),18.5,2019
14,Auburn (9-1),18.1,2019
15,Miss State (7-3),18.1,2019
16,Buffalo (10-0),17.5,2019
17,VCU (9-1),17.4,2019
18,Tennessee (6-4),17.3,2019
19,Wofford (10-0),17.1,2019
20,Penn State (6-4),17,2019
21,LSU (8-2),16.1,2019
22,VA Tech (6-4),16.1,2019
23,Florida (6-4),16,2019
24,Marquette (5-5),15.3,2019
25,Iowa State (5-5),15,2019
26,Wisconsin (6-4),15,2019
27,Belmont (9-1),14.8,2019
28,Kansas (7-3),14.7,2019
29,Utah State (10-0),14.5,2019
30,Seton Hall (6-4),14.1,2019
31,Nevada (7-3),14.1,2019
32,Maryland (5-5),14.1,2019
33,NC State (6-4),14.1,2019
34,Xavier (7-3),13.8,2019
35,Syracuse (4-6),13.7,2019
36,UC Irvine (10-0),13.6,2019
37,Minnesota (5-5),13.6,2019
38,Clemson (5-5),13.2,2019
39,Central FL (7-3),13.1,2019
40,Memphis (7-3),13.1,2019
41,Furman (8-2),13,2019
42,Louisville (3-7),12.9,2019
43,Murray St (10-0),12.8,2019
44,Dayton (6-4),12.5,2019
45,St Marys (8-2),12.5,2019
46,Creighton (6-4),12.4,2019
47,Texas (4-6),12.3,2019
48,Villanova (6-4),12.1,2019
49,Mississippi (5-5),12,2019
50,Indiana (5-5),11.8,2019
51,S Carolina (5-5),11.8,2019
52,Arizona St (7-3),11.5,2019
53,Cincinnati (8-2),11.4,2019
54,Oklahoma (4-6),11.1,2019
55,N Mex State (10-0),10.9,2019
56,Colorado (7-3),10.9,2019
57,Missouri (4-6),10.6,2019
58,Arkansas (4-6),10.5,2019
59,Wichita St (7-3),10,2019
60,St Bonavent (8-2),9.7,2019
61,Rutgers (3-7),9.4,2019
62,USC (3-7),8.7,2019
63,W Virginia (4-6),8.7,2019
64,Miami (FL) (4-6),8.7,2019
65,Saint Louis (7-3),8.7,2019
66,Nebraska (5-5),8.6,2019
67,Providence (4-6),8.4,2019
68,Northeastrn (9-1),8.3,2019
69,Baylor (4-6),8.3,2019
70,Fresno St (7-3),8.2,2019
71,Utah (6-4),7.8,2019
72,Ohio State (3-7),7.7,2019
73,San Diego St (6-4),7.7,2019
74,DePaul (4-6),7.6,2019
75,Texas A&M (5-5),7.3,2019
76,TX Christian (3-7),7.2,2019
77,Wright State (7-3),6.9,2019
78,Washington (7-3),6.8,2019
79,Stanford (4-6),6.8,2019
80,Toledo (7-3),6.8,2019
81,S Mississippi (7-3),6.7,2019
82,Georgetown (5-5),6.7,2019
83,Boise State (3-7),6.6,2019
84,Notre Dame (2-8),6.6,2019
85,Iowa (4-6),6.6,2019
86,Bradley (8-2),6.5,2019
87,GA Southern (7-3),6.2,2019
88,BYU (6-4),6,2019
89,Yale (7-3),6,2019
90,Northwestern (1-9),5.9,2019
91,Oklahoma St (3-7),5.8,2019
92,San Diego (5-5),5.7,2019
93,Utah Val St (9-1),5.6,2019
94,Georgia St (8-2),5.5,2019
95,Boston Col (3-7),5.5,2019
96,Vermont (9-1),5.4,2019
97,Central Mich (7-3),5.2,2019
98,Illinois (4-6),5,2019
99,Oregon St (4-6),5,2019
100,Davidson (6-4),4.9,2019
101,N Iowa (6-4),4.9,2019
102,Alabama (3-7),4.8,2019
103,Temple (6-4),4.8,2019
104,Colgate (10-0),4.8,2019
105,S Illinois (6-4),4.7,2019
106,Butler (4-6),4.5,2019
107,UAB (6-4),4.3,2019
108,Iona (10-0),4.1,2019
109,S Methodist (3-7),4,2019
110,S Dakota St (7-3),3.9,2019
111,N Kentucky (8-2),3.7,2019
112,Drake (7-3),3.7,2019
113,W Kentucky (6-4),3.7,2019
114,Harvard (7-3),3.7,2019
115,Charl South (7-3),3.6,2019
116,NC-Grnsboro (7-3),3.6,2019
117,Akron (3-7),3.5,2019
118,Liberty (9-1),3.5,2019
119,Loyola Mymt (5-5),3.5,2019
120,Rhode Island (6-4),3.4,2019
121,Pittsburgh (2-8),3.3,2019
122,E Tenn St (6-4),3.1,2019
123,Loyola-Chi (5-5),3.1,2019
124,Pepperdine (5-5),3,2019
125,IPFW (5-5),2.9,2019
126,Old Dominion (8-2),2.9,2019
127,TX-Arlington (6-4),2.9,2019
128,Tulsa (5-5),2.8,2019
129,TX-San Ant (5-5),2.7,2019
130,LA Monroe (5-5),2.7,2019
131,Montana (8-2),2.7,2019
132,Col Charlestn (7-3),2.7,2019
133,Abl Christian (8-2),2.6,2019
134,Marshall (7-3),2.5,2019
135,St Josephs (4-6),2.4,2019
136,Lipscomb (7-3),2.3,2019
137,Hofstra (6-4),2.2,2019
138,Jksnville St (8-2),2.2,2019
139,Austin Peay (6-4),2.2,2019
140,Bowling Grn (5-5),2.2,2019
141,Arizona (3-7),2.2,2019
142,St Johns (4-6),2.1,2019
143,UCLA (5-5),2,2019
144,Wake Forest (3-7),2,2019
145,UNLV (6-4),1.9,2019
146,GA Tech (3-7),1.9,2019
147,Georgia (1-9),1.8,2019
148,U Penn (5-5),1.6,2019
149,Gard-Webb (8-2),1.6,2019
150,Bucknell (6-4),1.6,2019
151,California Baptist (6-4),1.5,2019
152,E Washingtn (7-3),1.5,2019
153,N Illinois (5-5),1.4,2019
154,S Florida (3-7),1.4,2019
155,Kent State (5-5),1.3,2019
156,Stony Brook (7-3),1.3,2019
157,Lamar (9-1),1.3,2019
158,Colorado St (3-7),1.2,2019
159,Wm & Mary (7-3),1.1,2019
160,Grd Canyon (6-4),1.1,2019
161,Brown (6-4),1.1,2019
162,LA Lafayette (6-4),0.9,2019
163,Oakland (6-4),0.9,2019
164,Texas State (6-4),0.8,2019
165,N Colorado (7-3),0.8,2019
166,Connecticut (3-7),0.8,2019
167,San Fransco (4-6),0.7,2019
168,Neb Omaha (8-2),0.5,2019
169,Radford (6-4),0.5,2019
170,Santa Clara (5-5),0.4,2019
171,F Dickinson (9-1),0.3,2019
172,E Michigan (6-4),0.2,2019
173,Richmond (4-6),0.2,2019
174,Hartford (7-3),0.2,2019
175,LA Tech (5-5),0.1,2019
176,Fla Atlantic (4-6),0.1,2019
177,California (3-7),0.1,2019
178,Middle Tenn (5-5),0,2019
179,Ball State (4-6),-0.2,2019
180,N Dakota St (7-3),-0.2,2019
181,Presbyterian (5-5),-0.4,2019
182,Hampton (5-5),-0.5,2019
183,Columbia (4-6),-0.6,2019
184,Prairie View (9-1),-0.7,2019
185,Duquesne (4-6),-0.8,2019
186,Lg Beach St (7-3),-0.9,2019
187,IL-Chicago (6-4),-0.9,2019
188,Hawaii (5-5),-1,2019
189,SE Louisiana (7-3),-1,2019
190,Sam Hous St (7-3),-1.1,2019
191,TX-Pan Am (6-4),-1.2,2019
192,Samford (4-6),-1.3,2019
193,Missouri St (5-5),-1.3,2019
194,Miami (OH) (3-7),-1.4,2019
195,Vanderbilt (0-10),-1.4,2019
196,Valparaiso (3-7),-1.4,2019
197,Wash State (3-7),-1.5,2019
198,Campbell (7-3),-1.7,2019
199,S Alabama (5-5),-1.7,2019
200,New Mexico (4-6),-1.8,2019
201,Florida Intl (6-4),-1.9,2019
202,Air Force (5-5),-2.1,2019
203,Quinnipiac (5-5),-2.2,2019
204,WI-Grn Bay (6-4),-2.4,2019
205,Indiana St (4-6),-2.6,2019
206,LIU-Brooklyn (6-4),-2.6,2019
207,Geo Mason (5-5),-2.8,2019
208,Princeton (4-6),-2.8,2019
209,UCSB (5-5),-2.8,2019
210,App State (3-7),-2.9,2019
211,Cornell (4-6),-3,2019
212,Ohio (3-7),-3.3,2019
213,NJIT (4-6),-3.3,2019
214,Fla Gulf Cst (6-4),-3.3,2019
215,UC Davis (4-6),-3.4,2019
216,St Fran (PA) (6-4),-3.4,2019
217,Weber State (4-6),-3.5,2019
218,Portland St (7-3),-3.7,2019
219,American (4-6),-3.8,2019
220,Cal St Nrdge (3-7),-3.8,2019
221,North Texas (2-8),-3.8,2019
222,Coastal Car (3-7),-3.8,2019
223,Seattle (5-5),-3.8,2019
224,Pacific (2-8),-3.8,2019
225,Siena (6-4),-3.8,2019
226,La Salle (3-7),-3.8,2019
227,Norfolk St (8-2),-4,2019
228,New Orleans (6-4),-4.1,2019
229,Maryland BC (7-3),-4.1,2019
230,Dartmouth (1-9),-4.1,2019
231,Youngs St (6-4),-4.2,2019
232,James Mad (5-5),-4.3,2019
233,Montana St (5-5),-4.4,2019
234,N Florida (7-3),-4.4,2019
235,TX Southern (8-2),-4.4,2019
236,High Point (5-5),-4.5,2019
237,Lehigh (5-5),-4.6,2019
238,AR Lit Rock (3-7),-4.7,2019
239,UMKC (3-7),-4.8,2019
240,Loyola-MD (3-7),-4.9,2019
241,Arkansas St (3-7),-4.9,2019
242,Sacred Hrt (6-4),-5,2019
243,Rider (4-6),-5,2019
244,IUPUI (2-8),-5.1,2019
245,Navy (5-5),-5.1,2019
246,NC Central (8-2),-5.1,2019
247,Albany (5-5),-5.2,2019
248,Towson (3-7),-5.2,2019
249,TN Martin (6-4),-5.2,2019
250,Winthrop (4-6),-5.2,2019
251,Drexel (3-7),-5.3,2019
252,CS Fullerton (6-4),-5.4,2019
253,Monmouth (5-5),-5.5,2019
254,Mass Lowell (3-7),-5.6,2019
255,Morehead St (4-6),-5.6,2019
256,Evansville (2-8),-5.7,2019
257,Houston Bap (5-5),-5.8,2019
258,W Michigan (2-8),-5.8,2019
259,Illinois St (3-7),-5.9,2019
260,Elon (4-6),-6,2019
261,S Utah (4-6),-6.1,2019
262,Oral Roberts (3-7),-6.1,2019
263,NC-Wilmgton (2-8),-6.2,2019
264,Army (2-8),-6.2,2019
265,N Arizona (3-7),-6.3,2019
266,Boston U (4-6),-6.3,2019
267,South Dakota (4-6),-6.3,2019
268,Manhattan (5-5),-6.4,2019
269,Delaware (3-7),-6.6,2019
270,Ark Pine Bl (6-4),-6.6,2019
271,W Carolina (2-8),-6.6,2019
272,Sac State (5-5),-6.6,2019
273,Marist (4-6),-6.7,2019
274,St Peters (4-6),-6.7,2019
275,Canisius (6-4),-6.8,2019
276,North Dakota (4-6),-6.8,2019
277,North Alabama (2-8),-6.8,2019
278,Holy Cross (4-6),-6.8,2019
279,Jacksonville (3-7),-6.8,2019
280,NC A&T (8-2),-6.9,2019
281,Cleveland St (5-5),-7,2019
282,Rice (4-6),-7,2019
283,TN State (4-6),-7.1,2019
284,E Carolina (1-9),-7.1,2019
285,VA Military (4-6),-7.2,2019
286,Howard (7-3),-7.4,2019
287,U Mass (3-7),-7.5,2019
288,Fordham (2-8),-7.5,2019
289,Beth-Cook (6-4),-7.6,2019
290,Charlotte (3-7),-7.7,2019
291,CS Bakersfld (1-9),-8.1,2019
292,E Kentucky (3-7),-8.2,2019
293,Rob Morris (5-5),-8.2,2019
294,Wyoming (3-7),-8.2,2019
295,Mercer (3-7),-8.3,2019
296,TX A&M-CC (5-5),-8.6,2019
297,Nicholls St (4-6),-8.7,2019
298,St Fran (NY) (4-6),-8.7,2019
299,Fairfield (3-7),-8.7,2019
300,Chattanooga (2-8),-8.8,2019
301,Geo Wshgtn (2-8),-9,2019
302,Tulane (0-10),-9,2019
303,Central Ark (4-6),-9,2019
304,Grambling St (5-5),-9.2,2019
305,Lafayette (5-5),-9.2,2019
306,Stetson (3-7),-9.6,2019
307,Binghamton (4-6),-9.6,2019
308,Denver (2-8),-9.7,2019
309,Florida A&M (5-5),-9.8,2019
310,Bryant (2-8),-9.8,2019
311,W Illinois (2-8),-9.9,2019
312,Mt St Marys (4-6),-9.9,2019
313,Detroit (3-7),-9.9,2019
314,Troy (2-8),-10.4,2019
315,Citadel (2-8),-10.6,2019
316,Wagner (4-6),-10.9,2019
317,WI-Milwkee (0-10),-11.1,2019
318,TX El Paso (1-9),-11.1,2019
319,UC Riverside (2-8),-11.2,2019
320,TN Tech (1-9),-11.5,2019
321,Ste F Austin (3-7),-11.6,2019
322,E Illinois (1-9),-12.1,2019
323,Idaho State (3-7),-12.2,2019
324,SE Missouri (3-7),-12.2,2019
325,Niagara (2-8),-12.4,2019
326,Portland (0-10),-12.7,2019
327,Savannah St (5-5),-13.2,2019
328,Longwood (2-8),-13.2,2019
329,NW State (4-6),-13.4,2019
330,Central Conn (3-7),-14,2019
331,N Hampshire (2-8),-14.1,2019
332,Jackson St (4-6),-14.2,2019
333,Southern (4-6),-14.3,2019
334,SIU Edward (3-7),-14.6,2019
335,Cal Poly (1-9),-14.7,2019
336,S Car State (4-6),-15.3,2019
337,Kennesaw St (2-8),-15.6,2019
338,Maine (1-9),-15.7,2019
339,Coppin State (4-6),-15.9,2019
340,Alabama St (4-6),-16.1,2019
341,Alab A&M (1-9),-16.4,2019
342,NC-Asheville (2-8),-16.7,2019
343,McNeese St (2-8),-16.8,2019
344,Idaho (1-9),-17.5,2019
345,Morgan St (1-9),-17.6,2019
346,SC Upstate (1-9),-18.2,2019
347,Incar Word (0-10),-18.7,2019
348,Maryland ES (4-6),-19.1,2019
349,Miss Val St (3-7),-19.3,2019
350,Alcorn State (3-7),-20.1,2019
351,San Jose St (1-9),-21.5,2019
352,Delaware St (3-7),-23.3,2019
353,Chicago St (0-10),-26.2,2019
